path,method,source,operationId,tags,summary,note
/api/deliberate/topics/{id}/preview/,GET,openapi,deliberate_topics_preview_retrieve,deliberate,,
/api/docs/,GET,urls,,,,
/api/ethikos/argument-impact-votes/,GET,openapi,ethikos_argument_impact_votes_list,ethikos,,
/api/ethikos/argument-impact-votes/,POST,openapi,ethikos_argument_impact_votes_create,ethikos,,
/api/ethikos/argument-impact-votes/{id}/,DELETE,openapi,ethikos_argument_impact_votes_destroy,ethikos,,
/api/ethikos/argument-impact-votes/{id}/,GET,openapi,ethikos_argument_impact_votes_retrieve,ethikos,,
/api/ethikos/argument-impact-votes/{id}/,PATCH,openapi,ethikos_argument_impact_votes_partial_update,ethikos,,
/api/ethikos/argument-impact-votes/{id}/,PUT,openapi,ethikos_argument_impact_votes_update,ethikos,,
/api/ethikos/argument-sources/,GET,openapi,ethikos_argument_sources_list,ethikos,,
/api/ethikos/argument-sources/,POST,openapi,ethikos_argument_sources_create,ethikos,,
/api/ethikos/argument-sources/{id}/,DELETE,openapi,ethikos_argument_sources_destroy,ethikos,,
/api/ethikos/argument-sources/{id}/,GET,openapi,ethikos_argument_sources_retrieve,ethikos,,
/api/ethikos/argument-sources/{id}/,PATCH,openapi,ethikos_argument_sources_partial_update,ethikos,,
/api/ethikos/argument-sources/{id}/,PUT,openapi,ethikos_argument_sources_update,ethikos,,
/api/ethikos/argument-suggestions/,GET,openapi,ethikos_argument_suggestions_list,ethikos,,
/api/ethikos/argument-suggestions/,POST,openapi,ethikos_argument_suggestions_create,ethikos,,
/api/ethikos/argument-suggestions/{id}/,DELETE,openapi,ethikos_argument_suggestions_destroy,ethikos,,
/api/ethikos/argument-suggestions/{id}/,GET,openapi,ethikos_argument_suggestions_retrieve,ethikos,,
/api/ethikos/argument-suggestions/{id}/,PATCH,openapi,ethikos_argument_suggestions_partial_update,ethikos,,
/api/ethikos/argument-suggestions/{id}/,PUT,openapi,ethikos_argument_suggestions_update,ethikos,,
/api/ethikos/argument-suggestions/{id}/accept/,POST,openapi,ethikos_argument_suggestions_accept_create,ethikos,,
/api/ethikos/argument-suggestions/{id}/reject/,POST,openapi,ethikos_argument_suggestions_reject_create,ethikos,,
/api/ethikos/argument-suggestions/{id}/request-revision/,POST,openapi,ethikos_argument_suggestions_request_revision_create,ethikos,,
/api/ethikos/arguments/,GET,openapi,ethikos_arguments_list,ethikos,,
/api/ethikos/arguments/,POST,openapi,ethikos_arguments_create,ethikos,,
/api/ethikos/arguments/{id}/,DELETE,openapi,ethikos_arguments_destroy,ethikos,,
/api/ethikos/arguments/{id}/,GET,openapi,ethikos_arguments_retrieve,ethikos,,
/api/ethikos/arguments/{id}/,PATCH,openapi,ethikos_arguments_partial_update,ethikos,,
/api/ethikos/arguments/{id}/,PUT,openapi,ethikos_arguments_update,ethikos,,
/api/ethikos/categories/,GET,openapi,ethikos_categories_list,ethikos,,
/api/ethikos/categories/{id}/,GET,openapi,ethikos_categories_retrieve,ethikos,,
/api/ethikos/demo-scenarios/import,POST,openapi,ethikos_demo_scenarios_import_create,ethikos,,
/api/ethikos/demo-scenarios/import/,POST,openapi,ethikos_demo_scenarios_import_create_2,ethikos,,
/api/ethikos/demo-scenarios/preview,POST,openapi,ethikos_demo_scenarios_preview_create,ethikos,,
/api/ethikos/demo-scenarios/preview/,POST,openapi,ethikos_demo_scenarios_preview_create_2,ethikos,,
/api/ethikos/demo-scenarios/reset,POST,openapi,ethikos_demo_scenarios_reset_create,ethikos,,
/api/ethikos/demo-scenarios/reset/,POST,openapi,ethikos_demo_scenarios_reset_create_2,ethikos,,
/api/ethikos/discussion-participant-roles/,GET,openapi,ethikos_discussion_participant_roles_list,ethikos,,
/api/ethikos/discussion-participant-roles/,POST,openapi,ethikos_discussion_participant_roles_create,ethikos,,
/api/ethikos/discussion-participant-roles/{id}/,DELETE,openapi,ethikos_discussion_participant_roles_destroy,ethikos,,
/api/ethikos/discussion-participant-roles/{id}/,GET,openapi,ethikos_discussion_participant_roles_retrieve,ethikos,,
/api/ethikos/discussion-participant-roles/{id}/,PATCH,openapi,ethikos_discussion_participant_roles_partial_update,ethikos,,
/api/ethikos/discussion-participant-roles/{id}/,PUT,openapi,ethikos_discussion_participant_roles_update,ethikos,,
/api/ethikos/discussion-visibility-settings/,GET,openapi,ethikos_discussion_visibility_settings_list,ethikos,,
/api/ethikos/discussion-visibility-settings/,POST,openapi,ethikos_discussion_visibility_settings_create,ethikos,,
/api/ethikos/discussion-visibility-settings/{id}/,DELETE,openapi,ethikos_discussion_visibility_settings_destroy,ethikos,,
